ID,X,Y,Z,Node,Slice,Z_Darcy
438,264482.8366,2744373.234,95.79850157,4109,1,-0.031475654
439,264502.9929,2744328.128,95.62223609,4110,1,-0.002987374
440,264478.7418,2744431.093,97.45687749,4111,1,0.00131739
441,264434.621,2744398.017,95.43507118,4112,1,-0.000975855
442,264583.4758,2744410.757,108.5357443,4114,1,-2.13076E-08
443,264603.6321,2744365.651,108.3594789,4116,1,2.96762E-08
444,264667.9078,2744365.461,119.9533982,4117,1,-0.003788643
445,264631.5458,2744315.908,109.0616963,4118,1,-5.84125E-08
446,264722.2476,2744261.165,113.7777116,4124,1,2.13003E-09
447,264788.147,2744155.556,104.3765649,4128,1,6.13003E-05
448,266242.0652,2743369.863,112.8230404,4129,1,2.08453E-09
449,266270.4226,2743301.203,119.2485656,4131,1,-4.95003E-05
450,266229.2575,2743167.443,141.0385788,4135,1,-3.07171E-12
451,266266.1281,2743065.231,147.1045342,4140,1,-3.77379E-10
452,266230.7418,2743016.27,167.4334577,4141,1,-5.76567E-12
453,266256.4216,2742955.281,173.9463254,4142,1,2.35179E-10
454,266326.8878,2742964.967,155.4187546,4144,1,3.09734E-10
455,266285.3634,2742896.273,189.5841264,4145,1,7.27249E-10
