ID,X,Y,Z,Node,SINIT
273,262480.6781,2739975.361,396.5710096,544,0.003559125
274,265272.2735,2739276.534,396.387613,545,0.003594122
275,268540.6781,2751165.361,396.2996421,546,0.003528617
276,268750.6781,2750985.361,396.0330249,548,0.003531958
277,268210.6781,2751435.361,396.0044214,549,0.003524675
278,269230.6781,2750895.361,395.92438,550,0.00353608
279,268510.6781,2751195.361,395.6004318,551,0.003530368
280,265113.1467,2739299.834,395.4407824,553,0.0035965
281,263936.7236,2739982.188,395.1904412,556,0.003576566
282,265207.8195,2739304.271,395.0101113,558,0.003598749
283,268210.6781,2751405.361,394.9248469,560,0.003528423
284,262742.9801,2740041.804,394.8571258,562,0.003566713
285,261970.6781,2740035.361,394.577226,564,0.00356485
286,263720.4496,2739971.305,394.4683279,565,0.003576823
287,268270.6781,2751405.361,394.2333823,567,0.003531018
288,269020.6781,2750955.361,394.1025865,569,0.003541525
289,265450.6781,2739015.361,394.0262967,570,0.003604464
290,268510.6781,2751165.361,393.9837487,572,0.003535839
291,269170.6781,2750925.361,393.9698176,573,0.00354245
292,268240.6781,2751405.361,393.8928757,575,0.003532019
293,268480.6781,2751195.361,393.8528402,577,0.003535893
294,268330.6781,2751285.361,393.6855277,578,0.003534446
295,268720.6781,2750985.361,393.5406395,580,0.003539902
296,262314.8268,2740021.04,393.3917888,582,0.003569448
297,269200.6781,2750895.361,393.3388188,583,0.003544629
298,265421.748,2739148.02,393.2581656,584,0.003606909
299,269050.6781,2750955.361,392.9964108,588,0.003545245
300,268360.6781,2751255.361,392.9598541,591,0.003537233
301,264196.8665,2739945.036,392.638822,595,0.00358887
302,262548.7406,2740004.2,392.6313654,596,0.003573211
303,268120.6781,2751585.361,392.5418841,597,0.003535202
304,268300.6781,2751345.361,392.4869655,599,0.003537355
305,268360.6781,2751285.361,392.3516146,601,0.003539038
306,265296.9155,2739186.749,392.3171484,603,0.003609739
307,268960.6781,2750925.361,392.2972572,604,0.003547303
308,268648.8522,2751031.225,392.0737938,606,0.003543977
309,268300.6781,2751315.361,392.0460105,607,0.003538982
310,268390.6781,2751255.361,391.9383519,610,0.003540981
311,267784.5854,2751408.912,391.839513,611,0.003534345
312,268060.6781,2751585.361,391.6893601,612,0.00353784
313,268210.6781,2751465.361,391.606051,615,0.003538834
314,262623.2145,2740029.835,391.5479834,616,0.00357752
315,268420.6781,2751255.361,391.4040558,619,0.003542951
316,268780.6781,2750955.361,391.3502448,621,0.00354801
317,268175.4995,2751448.458,391.2156006,624,0.003540139
318,263365.0515,2739925.035,391.0764667,625,0.003585332
319,268450.6781,2751225.361,391.0693496,627,0.003544526
320,268990.6781,2750925.361,391.0075344,629,0.003551745
321,268450.6781,2751195.361,390.7464681,632,0.003545836
322,268270.6781,2751345.361,390.6710107,634,0.003543185
323,268300.6781,2751285.361,390.5568679,636,0.003544359
324,264851.9527,2739476.122,390.2917351,640,0.003614136
325,268244.3726,2751246.252,390.2155927,642,0.003545264
326,264813.2303,2739536.644,390.0905553,643,0.003614311
327,268270.9337,2751316.209,390.0272258,646,0.003545587
328,268587.8887,2751068.271,389.8457905,648,0.003550788
329,267730.6781,2751585.361,389.7836169,649,0.003538731
330,268120.6781,2751555.361,389.7650834,650,0.003544451
331,269020.6781,2750925.361,389.6631155,653,0.003556476
332,268030.6781,2751585.361,389.512019,655,0.003544984
333,268522.0614,2751117.061,389.2508282,657,0.00355201
334,268750.6781,2750955.361,389.1929415,659,0.003555071
335,268420.6781,2751225.361,389.1333684,660,0.003550786
336,268180.6781,2751555.361,389.0623492,662,0.003547023
337,268210.6781,2751525.361,388.970458,664,0.003547438
338,268180.6781,2751525.361,388.9559291,665,0.003547438
339,267790.6781,2751465.361,388.9505071,666,0.003543936
340,265470.1155,2739053.065,388.9179933,667,0.003623957
341,269050.6781,2750925.361,388.7672234,670,0.003559648
342,268810.6781,2750925.361,388.5832407,673,0.003557915
343,269260.6781,2750865.361,388.5661971,674,0.003560981
344,267760.6781,2751465.361,388.5032724,676,0.003544623
345,268780.6781,2750925.361,388.4869601,677,0.00355799
346,267790.6781,2751495.361,388.2298655,679,0.003546503
347,268930.6781,2750895.361,388.1382103,681,0.003561107
348,264726.1678,2740138.002,387.9492531,687,0.003615517
349,267828.628,2751453.896,387.9202317,688,0.003547902
350,268321.1378,2751241.292,387.8847573,690,0.00355394
351,267730.6781,2751555.361,387.873232,691,0.00354524
352,268216.3025,2751340.079,387.5753656,694,0.003553322
353,269230.6781,2750865.361,387.5361439,696,0.003564512
354,268367.2601,2751216.143,387.5249447,697,0.003555807
355,268000.6781,2751585.361,387.4670233,700,0.003551788
356,267760.6781,2751525.361,387.0561337,703,0.003548626
357,267730.6781,2751525.361,386.6553878,708,0.003549761
358,267700.6781,2751585.361,386.5994486,709,0.003549216
359,264669.3163,2739937.951,386.538783,711,0.003621671
360,268900.6781,2750895.361,386.5306675,713,0.003566419
361,267841.8968,2751372.149,386.5250614,714,0.003552942
362,267700.6781,2751615.361,386.4388743,717,0.003549601
363,268016.4272,2751469.33,386.4351863,718,0.003555239
364,268471.0519,2751145.726,386.3044599,719,0.003561467
365,268926.8339,2750859.077,386.2695419,720,0.003567554
366,268960.6781,2750895.361,386.1585486,721,0.003568264
367,268026.5508,2751362.61,386.1484383,722,0.003556495
368,268051.257,2751535.903,386.0610266,723,0.003556737
369,268870.6781,2750895.361,385.9150434,725,0.003568265
370,262000.6781,2740065.361,385.9025546,726,0.003595937
371,268878.1329,2750862.495,385.8289421,727,0.003568659
372,267703.1518,2751549.927,385.8076337,728,0.003552153
373,268810.6781,2750895.361,385.7950163,729,0.00356786
374,269110.6781,2750925.361,385.5636561,732,0.003571072
375,267970.6781,2751585.361,385.4872321,736,0.003558503
376,268136.5209,2751384.245,385.2560826,741,0.003560397
377,267956.8307,2751434.781,384.9743431,745,0.003559703
378,268000.2809,2751540.326,384.894469,748,0.00356053
379,265076.3621,2739319.475,384.8546382,749,0.003636817
380,267970.6781,2751555.361,384.6965045,753,0.003561188
381,267820.6781,2751495.361,384.6438878,754,0.003559005
382,268119.246,2751267.125,384.5538269,756,0.003563258
383,263024.9495,2739989.475,384.4728327,758,0.00360677
384,267765.4206,2751300.609,384.4414837,759,0.003559419
385,265059.6662,2739581.816,384.4326042,760,0.003637526
386,268840.6781,2750895.361,384.3365525,761,0.003573459
387,268414.9726,2751161.806,384.3173144,762,0.003567719
388,262382.8739,2740078.763,384.1524808,764,0.00360311
389,267970.6781,2751525.361,384.0450958,765,0.00356327
390,267977.1989,2751489.515,384.0408509,766,0.003563208
391,267670.6781,2751615.361,384.0331653,767,0.003557615
392,267896.3077,2751439.662,384.024277,768,0.003562188
393,269012.523,2750892.151,384.0094863,769,0.003576145
394,267940.6781,2751495.361,383.9170406,771,0.003563295
395,267910.6781,2751495.361,383.878545,773,0.003562954
396,268096.0901,2751467.37,383.8661163,774,0.003564636
397,267868.2581,2751495.361,383.7348758,776,0.003562792
398,267940.6781,2751525.361,383.7259695,777,0.003564168
399,267668.442,2751496.28,383.6934529,779,0.003559539
400,262820.6613,2740051.853,383.6771375,780,0.003607855
401,268823.6512,2750843.573,383.6750354,781,0.003575755
402,267370.6781,2751735.361,383.5416807,784,0.003557217
403,267929.3112,2751345.855,383.241039,790,0.003565503
404,266080.6781,2751765.361,383.1048615,792,0.003525226
405,267340.6781,2751705.361,383.0285406,796,0.003558739
406,262915.1925,2740021.502,382.9273737,799,0.00361163
407,265360.2417,2739144.877,382.8900826,801,0.003647111
408,267160.6781,2751585.361,382.6810767,807,0.003557494
409,267160.6781,2751555.361,382.4549467,811,0.003557921
410,267692.3356,2751386.445,382.4549374,812,0.003564907
411,269235.0904,2750834.925,382.4240207,813,0.003582658
412,267010.6781,2751675.361,382.406172,814,0.003554257
413,265497.6,2739106.38,382.2911055,815,0.003650315
414,268747.4081,2750880.997,382.179909,817,0.003580188
415,266080.6781,2751735.361,382.1724476,818,0.003530209
416,267340.6781,2751675.361,382.0887681,820,0.003561831
417,267640.6781,2751615.361,382.0565868,821,0.003564083
418,262243.5179,2739993.472,382.0363594,822,0.003610675
419,266050.6781,2751855.361,382.0340586,823,0.003524845
420,267370.6781,2751705.361,381.8318676,827,0.00356301
421,266080.6781,2751795.361,381.7935863,828,0.003528642
422,269260.6781,2750835.361,381.7639388,829,0.003585055
423,266055.653,2751760.208,381.6571287,831,0.003529765
424,267130.6781,2751585.361,381.6025375,832,0.003559579
425,263816.5551,2740014.575,381.4920198,833,0.003626306
426,267130.6781,2751555.361,381.2990044,838,0.00356102
427,268692.0682,2750945.077,381.2455422,840,0.003582531
428,266050.6781,2751825.361,381.1463922,843,0.003528222
429,267640.6781,2751675.361,381.1293308,844,0.003566831
430,267010.6781,2751645.361,381.0399857,847,0.003559439
431,268062.1693,2750937.555,381.0080601,850,0.003577253
432,269191.1816,2750839.626,380.9562227,851,0.003587885
433,264705.8324,2739802.626,380.7972824,853,0.003647124
434,267010.6781,2751705.361,380.7423799,856,0.00355974
435,267190.6781,2751585.361,380.7104631,857,0.003564667
436,267310.6781,2751675.361,380.6474213,859,0.00356656
437,267580.6781,2751735.361,380.622848,860,0.003568246
438,267490.6781,2751735.361,380.6148857,861,0.003567851
439,267100.6781,2751615.361,380.471693,864,0.003562745
440,267640.6781,2751705.361,380.3825594,865,0.003569367
441,267460.6781,2751765.361,380.2976028,867,0.003568712
442,267430.6781,2751765.361,380.2514755,868,0.003568826
443,267520.6781,2751735.361,380.2353503,870,0.003569347
444,267610.6781,2751705.361,380.2285048,871,0.003569852
445,261970.6781,2740065.361,380.108017,874,0.003617751
446,266050.6781,2751795.361,380.1037203,875,0.003533201
447,267400.6781,2751735.361,380.0748405,876,0.003569338
448,267100.6781,2751585.361,380.0674098,877,0.003564473
449,267659.9425,2751569.929,380.0047743,880,0.003571743
450,267858.3754,2751271.102,379.8349293,882,0.003576857
451,267580.6781,2751705.361,379.6498954,886,0.003571727
452,267072.1934,2751543.364,379.5781281,890,0.003566159
453,267040.6781,2751645.361,379.510159,891,0.003565227
454,267070.6781,2751615.361,379.4530815,893,0.003565962
455,267400.6781,2751765.361,379.355538,895,0.00357191
456,263617.0794,2740005.666,379.2890982,897,0.003632467
457,267280.6781,2751675.361,379.2350822,900,0.003571344
458,267070.6781,2751645.361,379.2074523,902,0.003566551
459,266110.6781,2751735.361,378.9055422,908,0.003543589
460,267983.7681,2751203.565,378.8683046,909,0.003582226
461,268320.414,2751139.078,378.8040979,911,0.003586541
462,267190.6781,2751615.361,378.6935244,912,0.003572117
463,265940.1541,2751690.885,378.6384854,914,0.003537805
464,268985.8818,2750836.402,378.6164017,915,0.003595489
465,264383.3283,2740064.472,378.1749341,923,0.003646955
